Name,Date,Location,Type,Region
Zakir Khan Live,3/24/2024, The Moore Theatre,Theatre,Downtown
Nirvana: Taking Punk To the Masses,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Aan,4/4/2024, Sunset Tavern,Music,Fremont / Ballard
Caetano Veloso,3/27/2024, The Moore Theatre,Music,Downtown
Becky Selengut: Misunderstood Vegetables,4/3/2024, Town Hall Seattle,Readings & Lectures,Downtown
Underwater Dome,Ongoing, Seattle Aquarium,Museums,Downtown
Dale Chihuly at Tacoma Art Museum,Ongoing, Tacoma Art Museum,Museums,South
Washington: My Home,Ongoing, Washington State History Museum,Museums,South
Kendra Morris,3/13/2024, Sunset Tavern,Music,Fremont / Ballard
"Anida Yoeu Ali: Hybrid Skin, Mythical Presence",Now through 7/7/2024, Seattle Asian Art Museum,Museums,Capitol Hill / Central District
Manual Cinema,4/3/2024, The Moore Theatre,Theatre,Downtown
Positive Fragmentation,Now through 3/10/2024, Bellevue Arts Museum,Museums,Bellevue / Eastside
Earshot Golden Ear Awards Party: Jun Iida,3/11/2024, The Royal Room,Music,South Seattle
Emily Calandrelli: Unleash Your Inner Scientist,3/9/2024, Town Hall Seattle,Readings & Lectures,Downtown
Sensory-Friendly Programs,Ongoing, MoPOP Museum of Pop Culture,Festivals & Special Events,Queen Anne / Seattle Center
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing, Wing Luke Museum,Museums,International District
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024, Seattle Art Museum,Museums,Downtown
Hippie Sabotage,4/3/2024, Showbox SoDo,Music,Pioneer Square
Seattle Kraken vs. Montreal Canadiens,3/24/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Pacific Species,Ongoing, Seattle Art Museum,Museums,Downtown
Barely Alive,3/22/2024, The Showbox,Music,Downtown
Danny Brown,3/30/2024, The Showbox,Music,Downtown
Meet our Marine Mammals,Ongoing, Seattle Aquarium,Museums,Downtown
Jake Shimabukuro,4/2/2024 through 4/3/2024, Dimitriou's Jazz Alley,Music,Downtown
Lifecycle of Seattle Artists,3/26/2024, Town Hall Seattle,Readings & Lectures,Downtown
MitiS,3/15/2024, Showbox SoDo,Music,Pioneer Square
Brad Gooch: The Life and Line of Keith Haring,3/19/2024, Town Hall Seattle,Readings & Lectures,Downtown
Brian Posehn,3/16/2024, The Neptune Theatre,Theatre,University District
Savor Seattle Signature Tour: Pike Place Market,Ongoing, Pike Place Market,Tours & Attractions,Downtown
Tropical Pacific,Ongoing, Seattle Aquarium,Museums,Downtown
Mania the ABBA Tribute,3/20/2024, The Neptune Theatre,Music,University District
Yuri,3/15/2024, The Moore Theatre,Music,Downtown
Rise Up: Stonewall and the LGBTQ Rights Movement,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Paris Shadows,3/27/2024, High Dive,Music,Fremont / Ballard
Omar Sosa Quarteto Americanos,3/26/2024 through 3/27/2024, Dimitriou's Jazz Alley,Music,Downtown
Spotlight on Dale Chihuly: Works from Museum of Glass Permanent Collection,Ongoing, Museum of Glass,Museums,South
MT Connolly,4/2/2024, Town Hall Seattle,Readings & Lectures,Downtown
Noize MC,4/1/2024, The Showbox,Music,Downtown
Taste Washington: The Seminars,3/16/2024," Seattle, WA",Festivals & Special Events,Downtown
Luchadora!,Now through 3/10/2024, Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center
Amazing Life,Ongoing, Burke Museum,Museums,University District
Jon Vinyl,3/20/2024, Barboza,Music,Capitol Hill / Central District
TommyInnit,3/12/2024, The Neptune Theatre,Music,University District
Luis Miguel,4/4/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
Coco Montoya,3/9/2024, The Triple Door,Music,Downtown
Debut,3/8/2024, Barboza,Music,Capitol Hill / Central District
Letterkenny,3/19/2024, Showbox SoDo,Theatre,Pioneer Square
Sasha LaPointe,3/11/2024, Town Hall Seattle,Readings & Lectures,Downtown
Mayuan Poet,3/20/2024, Neumos,Music,Capitol Hill / Central District
Jimbo’s Drag Circus,4/2/2024, The Neptune Theatre,Theatre,University District
Joey Harkum,4/2/2024, High Dive,Music,Fremont / Ballard
Brad Parsons,3/17/2024, High Dive,Music,Fremont / Ballard
Festal: Irish Festival Seattle,3/16/2024 through 3/17/2024, Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center
Frye in Focus: LINEAJES + Frye Salon,Now through 3/9/2024, Frye Art Museum,Museums,Capitol Hill / Central District
Window on Washington Waters,Ongoing, Seattle Aquarium,Museums,Downtown
Short Stories Live: Through Someone Else’s Eyes,3/10/2024, Town Hall Seattle,Readings & Lectures,Downtown
Weep Wave,4/5/2024, Sunset Tavern,Music,Fremont / Ballard
University District Farmers Market,Ongoing, University District Farmers Market,Festivals & Special Events,University District
Asher Roth,4/6/2024, Nectar Lounge,Music,Fremont / Ballard
Life on the Edge,Ongoing, Seattle Aquarium,Museums,Downtown
LeMay – America’s Car Museum,Ongoing, LeMay - America's Car Museum,Museums,South
The Paper Kites,3/9/2024, The Neptune Theatre,Music,University District
Helene Grimaud,3/9/2024, Meany Center for the Performing Arts,Music,University District
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024, Wing Luke Museum,Museums,International District
GARZA of Thievery Corporation,4/5/2024, Nectar Lounge,Music,Fremont / Ballard
Warren Zeiders,3/16/2024, Showbox SoDo,Music,Pioneer Square
Deities and Demons: Supernatural in Japanese Art,Ongoing, Seattle Art Museum,Museums,Downtown
Stew,3/15/2024 through 3/31/2024, ACT Theatre,Theatre,Downtown
Monster Energy AMA Supercross!,3/23/2024, Lumen Field,Festivals & Special Events,Pioneer Square
Kim Dracula,3/25/2024, Neumos,Music,Capitol Hill / Central District
Taylor Rave,3/15/2024, The Showbox,Music,Downtown
Ballard Farmers Market – Sunday,Ongoing, Ballard Farmers Market,Festivals & Special Events,Fremont / Ballard
Cody Bartels,3/13/2024, High Dive,Music,Fremont / Ballard
The Forensic Archive of Landscapes: Paloma Contreras Lomas,3/20/2024, Seattle Art Museum,Museums,Downtown
Autoheart,3/15/2024, El Corazon,Music,Downtown
Tea Obreht,3/25/2024, Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024, Museum of History & Industry,Museums,Queen Anne / Seattle Center
Metaphor into Form: Art in the Era of the Pilchuck Glass School,Ongoing, Tacoma Art Museum,Museums,South
Northwest Native Art,Ongoing, Burke Museum,Museums,University District
Boundless: Stories of Asian Art,Ongoing, Seattle Asian Art Museum,Museums,Capitol Hill / Central District
Tim McGraw,3/29/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
Benjamin Wurgaft and Merry White,3/15/2024, Town Hall Seattle,Readings & Lectures,Downtown
Harold and the Purple Crayon,3/23/2024 through 3/30/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
American Art: The Stories We Carry,Ongoing, Seattle Art Museum,Museums,Downtown
Oneus,3/16/2024, The Moore Theatre,Music,Downtown
Dr. Jane Goodall,3/30/2024, The Moore Theatre,Readings & Lectures,Downtown
Sleater-Kinney,4/2/2024 through 4/3/2024, The Showbox,Music,Downtown
Jimmy Chamberlin Complex,3/18/2024, Neumos,Music,Capitol Hill / Central District
Art Walk Edmonds | Every Third Thursday,Ongoing, Cascadia Art Museum,Visual Arts & Galleries,North
Raul de Nieves,Now through 9/30/2024, Henry Art Gallery,Museums,University District
Our Place in this World: Winter 2024 Concert,3/10/2024, Town Hall Seattle,Music,Downtown
Combichrist,3/20/2024, El Corazon,Music,Downtown
Peekaboo,4/6/2024, Showbox SoDo,Music,Pioneer Square
Scared to Death: The Thrill of Horror Film,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
True Northwest: The Seattle Journey,Ongoing, Museum of History & Industry,Museums,Queen Anne / Seattle Center
My Dinner with SAM,3/13/2024, Seattle Art Museum,Museums,Downtown
Seattle Sounders FC vs. Colorado Rapids,3/16/2024, Lumen Field,Sports,Pioneer Square
International Women’s Day Live Sessions Concert,3/8/2024, The Royal Room,Music,South Seattle
Discover Ancient Coast Salish Culture,Ongoing, Hibulb Cultural Center,Museums,North
Mom Jeans,4/7/2024, Showbox SoDo,Music,Pioneer Square
Live Wire with Luke Burbank,3/29/2024, Town Hall Seattle,Theatre,Downtown
Seattle Mariners vs. Cleveland Guardians,4/1/2024 through 4/3/2024, T-Mobile Park,Sports,Pioneer Square
Sakura-Con 2024,3/29/2024 through 3/31/2024, Seattle Convention Center,Festivals & Special Events,Downtown
Jessica Jackson Hutchins: Wrecked and Righteous,Now through 5/5/2024, Frye Art Museum,Museums,Capitol Hill / Central District
Tom Segura,4/6/2024, Climate Pledge Arena,Theatre,Queen Anne / Seattle Center
Tacoma Stars vs. Empire Strykers,3/23/2024, accesso ShoWare Center,Sports,South
Eyedress,3/13/2024, The Showbox,Music,Downtown
Calidore Quartet & Abeo Quartet,3/8/2024, 415 Westlake,Music,Queen Anne / Seattle Center
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024, accesso ShoWare Center,Sports,South
Rootabaga Country,Now through 3/17/2024, Opera Center,Music,Queen Anne / Seattle Center
Red Bull Lords of Floor,4/6/2024, WaMu Theater,Dance,Pioneer Square
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024, Benaroya Hall,Readings & Lectures,Downtown
Alvin Ailey American Dance Theater,3/15/2024 through 3/16/2024, The Paramount Theatre,Dance,Downtown
Goose Vargis,3/15/2024, High Dive,Music,Fremont / Ballard
31 Nights,4/7/2024, High Dive,Music,Fremont / Ballard
Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024, Benaroya Hall,Music,Downtown
The Veronicas,4/5/2024, The Showbox,Music,Downtown
Foo Gazzi,3/28/2024, High Dive,Music,Fremont / Ballard
Art and Life Along the Northwest Coast,Ongoing, Seattle Art Museum,Museums,Downtown
Humboldt Penguin Exhibit,Ongoing, Woodland Park Zoo,Museums,Wallingford / Greenlake
Destin Conrad,3/24/2024, The Neptune Theatre,Music,University District
Biblioteka,3/9/2024, Sunset Tavern,Music,Fremont / Ballard
Maritime Seattle,Ongoing, Museum of History & Industry,Museums,Queen Anne / Seattle Center
Judith Hill – Letters from A Black Widow Tour,3/14/2024 through 3/17/2024, Dimitriou's Jazz Alley,Music,Downtown
Cowboy Disco,3/30/2024, High Dive,Music,Fremont / Ballard
Marcus Miller,3/21/2024 through 3/24/2024, Dimitriou's Jazz Alley,Music,Downtown
Angie McMahon,3/11/2024, The Crocodile,Music,Downtown
Chihuly Garden and Glass Gallery Talks & Tours,Ongoing, Chihuly Garden and Glass,Tours & Attractions,Queen Anne / Seattle Center
Ann Annie,3/25/2024, High Dive,Music,Fremont / Ballard
Hamdi,3/29/2024, The Showbox,Music,Downtown
Celebrate Holi! Spring Festival of Colors from South Asia,3/24/2024, Burke Museum,Museums,University District
Drew Martin,3/15/2024, Sunset Tavern,Music,Fremont / Ballard
Flyana Boss,3/21/2024, Barboza,Music,Capitol Hill / Central District
Exhibition Tour: Calder,Now through 3/31/2024, Seattle Art Museum,Museums,Downtown
Josiah and the Bonnevilles,3/9/2024, Barboza,Music,Capitol Hill / Central District
Honoring Our Journey,Ongoing, Wing Luke Museum,Museums,International District
El Perro del Mar,3/19/2024, Barboza,Music,Capitol Hill / Central District
Taste Washington: No Frills,3/18/2024," Seattle, WA",Festivals & Special Events,Downtown
BAS,3/17/2024, Neumos,Music,Capitol Hill / Central District
One Thousand Pieces,3/15/2024 through 3/24/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
The Nook: Rainbow Rhapsody,4/6/2024, The Neptune Theatre,Music,University District
The 350’s,4/2/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
Taste Washington: Pacific Standard,3/14/2024, Pier 62,Festivals & Special Events,Downtown
Soren Solkaer: Sort Sol,Now through 3/10/2024, National Nordic Museum,Museums,Fremont / Ballard
Sound Check! The Music We Make,Now through 9/14/2024, Wing Luke Museum,Museums,International District
West Seattle Farmers Market – Sundays,Ongoing, West Seattle Farmers Market,Festivals & Special Events,West Seattle
Holding / Movement,3/8/2024, Benaroya Hall,Music,Downtown
Taylor Raven and Duke Kim in Recital,4/4/2024, Opera Center,Music,Queen Anne / Seattle Center
Pioneer Square First Thursday Art Walk,Ongoing, Pioneer Square,Visual Arts & Galleries,Pioneer Square
Ariel Pink,3/9/2024, El Corazon,Music,Downtown
Whose Live Anyway?,4/6/2024, The Moore Theatre,Theatre,Downtown
Explore The Market,Ongoing, Pike Place Market,Festivals & Special Events,Downtown
75 Years of Porsche,Ongoing, LeMay - America's Car Museum,Museums,South
Richard Lui and Dr. Kate Zhong: Caring for the Caregiver,3/19/2024, Town Hall Seattle,Readings & Lectures,Downtown
R.A.P. Ferreira,4/5/2024, High Dive,Music,Fremont / Ballard
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024, National Nordic Museum,Museums,Fremont / Ballard
Chihuly Garden and Glass,Ongoing, Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center
Giant Pacific Octopus,Ongoing, Seattle Aquarium,Museums,Downtown
Kenzan Tsutakawa-Chinn: Gather,Ongoing, Seattle Asian Art Museum,Museums,Capitol Hill / Central District
Josh Wolf,3/8/2024, The Neptune Theatre,Theatre,University District
Lee McIntyre: A History of Disinformation,3/21/2024, Town Hall Seattle,Readings & Lectures,Downtown
Jazz Underground,3/27/2024, The Royal Room,Music,South Seattle
Queensryche and Armored Saint,3/31/2024, The Neptune Theatre,Music,University District
Jaune Quick-to-See Smith: Memory Map,Now through 5/12/2024, Seattle Art Museum,Museums,Downtown
Great Hall of Washington History,Ongoing, Washington State History Museum,Museums,South
Our Material World,Ongoing, Burke Museum,Museums,University District
Capitol Hill Farmers Market – Sunday,Ongoing, Capitol Hill Farmers Market,Festivals & Special Events,Capitol Hill / Central District
Replay Matinee: Roxanne Dunbar-Ortiz,3/14/2024, Town Hall Seattle,Readings & Lectures,Downtown
Fatoumata Diawara,4/5/2024, The Neptune Theatre,Music,University District
Olympic Sculpture Park,Ongoing, Olympic Sculpture Park,Visual Arts & Galleries,Downtown
Dadi Freyr,3/22/2024, Showbox SoDo,Music,Pioneer Square
Meet the Animals,Ongoing, Woodland Park Zoo,Museums,Wallingford / Greenlake
Beetlejuice,4/2/2024 through 4/7/2024, The Paramount Theatre,Theatre,Downtown
Veeze,3/14/2024, The Neptune Theatre,Music,University District
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024, Wing Luke Museum,Museums,International District
Briston Maroney: Ultrapure Tour,3/18/2024 through 3/19/2024, The Neptune Theatre,Music,University District
Frye Salon,Now through 10/27/2024, Frye Art Museum,Museums,Capitol Hill / Central District
Matt Maltese,4/3/2024, The Neptune Theatre,Music,University District
Timmy Trumpet’s Freakshow,3/30/2024, Showbox SoDo,Music,Pioneer Square
Native Portraiture: Power and Perception,Now through 3/17/2024, Tacoma Art Museum,Museums,South
Seattle Kraken vs. Vegas Golden Knights,3/12/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Rylan Fischer,3/17/2024, Sunset Tavern,Music,Fremont / Ballard
Juliet Hooker with Megan Ming Francis: The Politics of Loss,3/25/2024, Town Hall Seattle,Readings & Lectures,Downtown
Manazma Sheen,Ongoing, Sea Monster Lounge,Music,Wallingford / Greenlake
Seattle Kraken vs. Nashville Predators,3/16/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Illuminate: Glass Art for Early Learners,Now through 3/31/2024, Museum of Glass,Museums,South
The Moth Seattle GrandSLAM,3/22/2024, Town Hall Seattle,Festivals & Special Events,Downtown
Shain Shapiro with Greg Scruggs: How Music Builds Cities,3/24/2024, Town Hall Seattle,Readings & Lectures,Downtown
X:The Life and Times of Malcolm X,Now through 3/9/2024, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
Rhapsody in Shmaltz,3/10/2024, The Royal Room,Music,South Seattle
The Wood Brothers,3/8/2024, The Moore Theatre,Music,Downtown
Los Huracanes del Norte: A Otro Nivel Tour 2024,3/22/2024, The Neptune Theatre,Music,University District
Festal: Seattle’s French Fest,3/24/2024, Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Public Tour: Journeys Through Time and Space,Now through 3/31/2024, Seattle Asian Art Museum,Museums,Capitol Hill / Central District
Text Me Back Live,3/15/2024, Town Hall Seattle,Theatre,Downtown
Jonah Kagen,3/25/2024, Barboza,Music,Capitol Hill / Central District
Tim Berne Trio,3/13/2024, The Royal Room,Music,South Seattle
Lee Fields and Monophonics,3/15/2024, The Neptune Theatre,Music,University District
More Music,3/22/2024, The Moore Theatre,Music,Downtown
Bach St. John Passion,Now through 3/9/2024, Benaroya Hall,Music,Downtown
Be/longing: Contemporary Asian Art,Ongoing, Seattle Asian Art Museum,Museums,Capitol Hill / Central District
Jennifer Hartswick Band,3/23/2024, High Dive,Music,Fremont / Ballard
Seattle Kraken vs. Anaheim Ducks,3/28/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Umphrey’s McGee,3/17/2024, The Showbox,Music,Downtown
Kathy Ross: Serious Fun,3/24/2024, Bainbridge Island Museum of Art,Museums,West
Places to Call Home: Settlements in the West,Now through 3/17/2024, Tacoma Art Museum,Museums,South
glass beach,3/21/2024, Neumos,Music,Capitol Hill / Central District
Clarence Moriwaki,3/18/2024, Town Hall Seattle,Readings & Lectures,Downtown
XAVI,4/5/2024, Showbox SoDo,Music,Pioneer Square
Tuomo and Markus Concert,3/15/2024, National Nordic Museum,Museums,Fremont / Ballard
"Matthew Desmond: Poverty, By America",3/28/2024, Town Hall Seattle,Readings & Lectures,Downtown
